scenario,step,version,refresh_ms,segments,rss_bytes,active_bytes,retained_bytes
repeated,85,after,61.023624999999996,2,27295744,66022859,102759931
repeated,86,before,77.25750000000001,7,29982720,68264575,849754770
repeated,86,after,70.51566600000001,2,28016640,66022946,103202871
repeated,87,before,83.890958,8,31653888,68707691,851430610
repeated,87,after,62.343959,2,28442624,66023016,103645881
repeated,88,before,868.606583,1,227622912,65608044,917037912
repeated,88,after,70.13324999999999,2,27836416,66023069,104088944
repeated,89,before,83.167417,2,31277056,66051300,918713256
repeated,89,after,64.001084,2,26902528,66023156,104532094
repeated,90,before,75.671084,3,29327360,66494638,920388788
repeated,90,after,68.531333,2,28147712,66023238,104975326
repeated,91,before,80.395583,4,29278208,66938088,922064538
repeated,91,after,59.377582999999994,2,29310976,66023350,105418670
repeated,92,before,77.939375,5,30490624,67381650,923740506
repeated,92,after,72.125917,2,29196288,66023462,105862126
repeated,93,before,81.159875,6,30113792,67825322,925416690
repeated,93,after,58.469291,2,28098560,66023572,106305692
repeated,94,before,76.465958,7,30228480,68269061,927093047
repeated,94,after,69.331875,2,27262976,66023639,106749325
repeated,95,before,83.323,8,30605312,68712934,928769644
repeated,95,after,61.573707999999996,2,29147136,66023773,107193092
repeated,96,before,885.42725,1,227246080,65608608,994377510
repeated,96,after,72.730709,2,27820032,66023862,107636948
repeated,97,before,82.063916,2,30507008,66052724,996053714
repeated,97,after,60.381292,2,28508160,66024016,108080958
repeated,98,before,76.273667,3,29884416,66496956,997730140
repeated,98,after,68.43920800000001,2,28098560,66024132,108525084
repeated,99,before,82.833,4,29409280,66941293,999406777
repeated,99,after,63.052042,2,27852800,66024237,108969315
repeated,100,before,78.396417,5,30621696,67385797,1001083687
repeated,100,after,71.22375,2,27230208,66024404,109413713
rotating,1,before,75.87837499999999,2,27901952,66011541,68475611
rotating,1,after,57.415084,2,26296320,66011541,66011541
rotating,2,before,69.47958299999999,3,27525120,66546079,70242343
rotating,2,after,65.027084,3,25755648,66546079,66546079
rotating,3,before,75.4885,4,26361856,66963295,71891859
rotating,3,after,50.625375,4,24952832,66963295,66963295
rotating,4,before,71.32325,5,27066368,67325949,73486919
rotating,4,after,61.851583000000005,5,25542656,67325949,67325949
rotating,5,before,77.010625,6,26836992,67739878,75133360
rotating,5,after,53.986041,6,26214400,67739878,67739878
rotating,6,before,72.55916599999999,7,27836416,68181860,76807960
rotating,6,after,65.127875,7,25919488,68181860,68181860
rotating,7,before,79.187708,8,27672576,68663176,78522000
rotating,7,after,56.994875,8,26607616,68663176,68663176
rotating,8,before,874.6130840000001,1,228098048,65675546,144196804
rotating,8,after,65.473,9,26984448,69153770,69153770
rotating,9,before,77.50224999999999,2,26017792,66035766,145789112
rotating,9,after,72.022,7,25886720,69167028,70720623
rotating,10,before,74.5535,3,26935296,66477290,147462830
rotating,10,after,65.25129100000001,8,24788992,69608552,71162147
rotating,11,before,79.508625,4,28016640,66948880,149166720
rotating,11,after,56.339458,9,26329088,70080142,71633737
rotating,12,before,72.713292,5,27066368,67345249,150795495
rotating,12,after,84.138167,7,26411008,70082785,73347472
rotating,13,before,80.549625,6,26902528,67750483,152433241
rotating,13,after,56.647999999999996,8,25526272,70488019,73752706
rotating,14,before,76.23525000000001,7,28000256,68274911,154190287
rotating,14,after,64.56675000000001,9,27017216,71012447,74277134
rotating,15,before,81.97045899999999,8,28590080,68690509,155838609
rotating,15,after,74.23675,7,26525696,70997841,76035842
rotating,16,before,903.144166,1,228343808,65751807,221589674
rotating,16,after,66.312916,8,25919488,71360662,76398663
rotating,17,before,81.794125,2,28327936,66224150,223294105
rotating,17,after,56.9155,9,27803648,71833005,76871006
rotating,18,before,77.284333,3,27754496,66596254,224898403
rotating,18,after,88.33191599999999,7,26722304,71801245,78536684
rotating,19,before,81.98516599999999,4,27148288,66953244,226487693
rotating,19,after,61.117458,8,25427968,72158235,78893674
rotating,20,before,77.85520799999999,5,27459584,67308141,228074996
rotating,20,after,67.317417,9,24526848,72513132,79248571
rotating,21,before,84.102709,6,28393472,67744106,229743473
rotating,21,after,76.469625,7,25853952,72570762,80978057
rotating,22,before,77.178166,7,28082176,68162897,231394882
rotating,22,after,68.437,8,25395200,72989553,81396848
rotating,23,before,82.043459,8,28164096,68504180,232968889
rotating,23,after,57.583375,9,26361856,73330836,81738131
rotating,24,before,905.755875,1,226983936,65826076,298794223
rotating,24,after,94.561875,7,26624000,73479985,83747725
rotating,25,before,86.20708400000001,2,28573696,66310029,300510264
rotating,25,after,62.70075,8,27279360,73963938,84231678
rotating,26,before,79.241375,3,27000832,66744104,302176533
rotating,26,after,71.74641700000001,9,25821184,74398013,84665753
rotating,27,before,86.797083,4,26411008,67096991,303761720
rotating,27,after,85.0895,7,25952256,74224468,86969756
rotating,28,before,80.966125,5,27951104,67496213,305393348
rotating,28,after,68.635458,8,26116096,74623690,87368978
rotating,29,before,84.84866600000001,6,27934720,67760205,306889852
rotating,29,after,60.026666,9,25542656,74887682,87632970
rotating,30,before,80.987292,7,27820032,68204569,308566834
rotating,30,after,84.10195900000001,8,26984448,75132978,88985526
rotating,31,before,84.711292,8,28459008,68616118,310211107
rotating,31,after,58.661666000000004,9,25247744,75544527,89397075
rotating,32,before,914.997042,1,228835328,65897287,376107652
rotating,32,after,105.984667,7,26574848,75278173,92136545
rotating,33,before,86.91508400000001,2,27394048,66296288,377738741
rotating,33,after,58.972333,8,26558464,75677174,92535546
rotating,34,before,80.488125,3,27852800,66703733,379378380
rotating,34,after,68.842625,9,26312704,76084619,92942991
rotating,35,before,87.63908400000001,4,27328512,67115790,381022737
rotating,35,after,88.8115,7,26296320,75976176,95346625
rotating,36,before,88.186792,5,26116096,67450616,382589969
rotating,36,after,67.899916,8,24772608,76311002,95681451
rotating,37,before,92.281583,6,27426816,67830897,384202762
rotating,37,after,62.741291000000004,9,26148864,76691283,96061732
rotating,38,before,83.817291,7,28852224,68259448,385863931
rotating,38,after,96.13475000000001,7,26591232,76613461,98444934
rotating,39,before,102.104042,8,29753344,68581318,387418525
rotating,39,after,59.504875,8,26574848,76935331,98766804
rotating,40,before,919.808083,1,228507648,65968799,453386582
rotating,40,after,74.45725,9,25821184,77398881,99230354
rotating,41,before,87.570583,2,26509312,66330185,454980056
rotating,41,after,78.45845899999999,8,25722880,77556344,100534305
rotating,42,before,82.80108299999999,3,26771456,66756874,456638939
rotating,42,after,70.484042,9,25706496,77983033,100960994
rotating,43,before,91.523708,4,26460160,67267763,458382128
rotating,43,after,99.30975000000001,7,28000256,77802938,104004470
rotating,44,before,85.415334,5,28655616,67794422,460141193
rotating,44,after,71.9015,8,26935296,78329597,104531129
rotating,45,before,88.499625,6,26935296,68183441,461762724
rotating,45,after,63.018459,9,25493504,78718616,104920148
rotating,46,before,87.448875,7,27377664,68710425,463522326
rotating,46,after,104.65425,7,27246592,78620848,107708379
rotating,47,before,91.231208,8,28966912,69098879,465143504
rotating,47,after,66.843208,8,27197440,79009302,108096833
rotating,48,before,922.523792,1,228278272,66040165,531182927
rotating,48,after,78.671875,9,26214400,79400843,108488374
rotating,49,before,89.86166700000001,2,28409856,66494903,532869753
rotating,49,after,84.538834,8,27951104,79630022,109951968
rotating,50,before,86.474458,3,27820032,66960293,534567337
rotating,50,after,73.377042,9,26738688,80095412,110417358
rotating,51,before,90.72354200000001,4,26689536,67330633,536169977
rotating,51,after,88.965459,8,25886720,80157622,112324154
rotating,52,before,86.71912499999999,5,26591232,67656487,537728237
rotating,52,after,74.876083,9,25477120,80483476,112650008
rotating,53,before,92.754417,6,28377088,68126335,539430597
rotating,53,after,77.40925,9,25886720,80865925,113827947
rotating,54,before,86.35404100000001,7,28311552,68579238,541116118
rotating,54,after,103.1535,8,27295744,80857418,116517102
rotating,55,before,93.585875,8,28622848,69097620,542867224
rotating,55,after,65.509334,9,26214400,81375800,117035484
rotating,56,before,928.312458,1,229179392,66110838,608977320
rotating,56,after,91.758375,9,25739264,81622920,118153093
rotating,57,before,91.440166,2,28491776,66510727,610609297
rotating,57,after,81.67795799999999,9,26918912,81882114,119577466
rotating,58,before,88.78337499999999,3,28295168,66969922,612300686
rotating,58,after,92.371542,9,27803648,82173591,121352622
rotating,59,before,92.399125,4,27426816,67311649,613874713
rotating,59,after,88.136791,9,25362432,82363269,123199988
rotating,60,before,87.694125,5,27656192,67778241,615573711
rotating,60,after,100.509792,9,26165248,82646429,125455379
rotating,61,before,95.940416,6,26820608,68142211,617170193
rotating,61,after,143.0515,7,31391744,81311866,131808019
rotating,62,before,89.743875,7,29327360,68534099,618794699
rotating,62,after,75.56475,8,26673152,81703754,132199907
rotating,63,before,95.663,8,28704768,68906128,620399452
rotating,63,after,65.162375,9,26509312,82075783,132571936
rotating,64,before,927.642417,1,228229120,66183875,686582585
rotating,64,after,106.799083,7,26132480,82144138,134186181
rotating,65,before,99.045375,2,26460160,66486648,688117446
rotating,65,after,67.88025,8,25673728,82446911,134488954
rotating,66,before,93.761917,3,27099136,66862063,689725055
rotating,66,after,74.84787499999999,9,26542080,82822326,134864369
rotating,67,before,95.47770899999999,4,29310976,67341690,691436982
rotating,67,after,94.884708,7,27541504,82814773,137210449
rotating,68,before,91.104041,5,28065792,67703863,693031561
rotating,68,after,75.71808300000001,8,25804800,83176946,137572622
rotating,69,before,96.343,6,26492928,68075310,694635520
rotating,69,after,70.872125,9,26427392,83548393,137944069
rotating,70,before,92.146541,7,27361280,68482624,696275452
rotating,70,after,92.39729200000001,8,26656768,83739738,139276030
rotating,71,before,98.79845800000001,8,26558464,68810537,697836089
rotating,71,after,67.48470900000001,9,26263552,84067651,139603943
rotating,72,before,963.266291,1,228098048,66256850,764092197
rotating,72,after,104.829583,8,27410432,84220135,141455847
rotating,73,before,96.936875,2,27459584,66732630,765800065
rotating,73,after,76.640625,9,27459584,84695915,141931627
rotating,74,before,98.16291700000001,3,26427392,67126726,767426355
