id,family,pattern,matches,short_branch,hash,english,chromium_all,chromium_pairs,hash_change_pct,hash_ci_lo,hash_ci_hi,hash_clear_gain,hash_clear_regression,english_change_pct,english_ci_lo,english_ci_hi,english_clear_gain,english_clear_regression,chromium_all_change_pct,chromium_all_ci_lo,chromium_all_ci_hi,chromium_all_clear_gain,chromium_all_clear_regression
identifier:response_input_to_harmony,identifier,response_input_to_harmony,43,False,6.5035,6.627042,6.863333,6.886833,5.8942569385715515,3.938766037683261,8.67115539723029,False,True,3.9201652864128578,1.5685861259940204,5.3227782489869035,False,False,0.3423992395531483,-1.8657206275620175,1.865863512818633,False,False
or_two:response_input_to_harmony,or_two,(?:response|harmony),7673,False,18.146125,16.551708,19.214875,16.721583,-7.850392301386677,-9.63452625927853,-5.714009952099586,True,False,1.0263291256708884,-0.5885474401029933,2.8467200539685766,False,False,-12.975842934185112,-14.349411424863723,-10.183631865039311,True,False
or_all:response_input_to_harmony,or_all,(?:response|input|to|harmony),349636,True,199.874375,200.77825,199.586667,199.054541,-0.41017464094633693,-4.055587180849085,0.8182956392958296,False,False,-0.858513808144068,-2.5204550058446573,0.8616968221755172,False,False,-0.2666140018260821,-3.4666121300627184,0.8894571426771858,False,False
identifier:use_custom_op_collectives,identifier,use_custom_op_collectives,6,False,7.059792,6.803333,6.733875,6.725,-4.742236031883095,-7.086819865545491,-1.8840321652809355,False,False,-1.1513915311803902,-2.97285289547079,1.3561211634063985,False,False,-0.13179632826567644,-2.160067573581459,2.78448450248705,False,False
or_two:use_custom_op_collectives,or_two,(?:use|collectives),41044,False,54.264625,52.963083,53.735292,53.391041,-1.6098590932859147,-3.7353735487419715,0.1270884076586487,False,False,0.8080307560645705,-0.5774431569606442,2.0755008461689872,False,False,-0.6406422803099332,-1.3613348794497604,0.5545727712206183,False,False
or_all:use_custom_op_collectives,or_all,(?:use|custom|op|collectives),110402,True,101.87275,101.790541,102.031625,101.640875,-0.22761238898527658,-2.6153509116786045,0.690138515253147,False,False,-0.14703330833069073,-1.1058666042063514,1.070501559964776,False,False,-0.38296949597735885,-1.140095631058169,0.4217140840029554,False,False
identifier:invoke_moe_batched_triton_kernel,identifier,invoke_moe_batched_triton_kernel,5,False,6.685792,6.797792,6.767791,6.678125,-0.11467601744117317,-2.6268458868365374,2.313551371046718,False,False,-1.7603804294100245,-3.336757693219683,0.6172262046812538,False,False,-1.3248931593780044,-2.994393958786634,1.2143249864417616,False,False
or_two:invoke_moe_batched_triton_kernel,or_two,(?:invoke|kernel),14161,False,26.074875,26.025417,26.126,25.902583,-0.6607586805305821,-2.250152872833533,0.840800045285639,False,False,-0.4719770676489099,-1.9149549073507632,1.502884373244484,False,False,-0.8551519559059972,-2.082107355053364,0.41056186248413784,False,False
or_all:invoke_moe_batched_triton_kernel,or_all,(?:invoke|moe|batched|triton|kernel),29195,False,39.878583,39.5375,40.021291,39.77125,-0.2691494830696417,-1.3050523299808492,0.6007067909007402,False,False,0.5912108757508694,-0.39112830952883204,2.3014110231668994,False,False,-0.6247699505745441,-1.8628914451078393,0.36257462092275095,False,False
identifier:compile_or_warm_up_model,identifier,compile_or_warm_up_model,12,False,6.795667,7.153417,7.378958,7.132625,4.9584242429771885,0.6215222537698573,8.857590398296411,False,False,-0.2906582965874982,-4.549525058592385,2.087247466167219,False,False,-3.338316873466418,-7.550418528702396,-1.5161219239898105,False,False
or_two:compile_or_warm_up_model,or_two,(?:compile|model),58164,False,60.541667,60.668292,61.891833,61.063041,0.861182101246083,-0.1413427900313291,1.5518109135540081,False,False,0.6506677326600707,-0.6823833760037812,1.2553705269670923,False,False,-1.3390975187307808,-2.4550771363629043,-0.44069288447060595,False,False
or_all:compile_or_warm_up_model,or_all,(?:compile|or|warm|up|model),473742,True,252.137375,249.067125,248.605292,250.64175,-0.5931786193934863,-3.587955525920372,2.2724583138044707,False,False,0.6322090882126652,-2.9714023927237654,3.216935584023539,False,False,0.819153117625504,-2.6139173534981963,3.3154771706549235,False,False
word:across,word,across,2038,False,14.576166,14.518584,14.677417,14.614,0.25956071027182226,-3.8968480126305716,2.6501351295538322,False,False,0.6571990767143765,-1.1803468009417672,3.1134334383529083,False,False,-0.4320719374532933,-2.225634582406566,1.1675698284250968,False,False
word:batched,word,batched,1809,False,15.200916,14.866458,15.430583,15.463875,1.7298891724683019,-0.11712166844781713,2.626253099357112,False,False,4.018556403953122,2.6074367711645285,5.3776517759320575,False,False,0.2157533516393917,-0.7593857341667287,1.3499726263903833,False,False
word:biased,word,biased,137,False,8.931,8.9865,6.992917,9.042125,1.2442615608554641,-1.2760724095758014,4.387952923908411,False,False,0.6189840316029649,-2.2830794738787796,3.3198403730350545,False,False,29.304051513838925,26.082434203535108,32.70252505023819,False,True
word:chunk,word,chunk,12124,False,19.509333,19.467875,19.333625,19.452417,-0.2917372931201756,-2.2415615341743855,0.30718250111538836,False,False,-0.07940260557456336,-1.1955064414548078,0.7698445348775174,False,False,0.6144321098604077,-1.5004332011770427,1.073240807776843,False,False
word:chunks,word,chunks,2779,False,11.872459,11.850375,12.06875,11.037833,-7.029933731504146,-9.54407757901935,-5.165797396429617,True,False,-6.856677531301758,-8.46075416036609,-4.719604438866531,True,False,-8.542036250647334,-10.939847168175499,-6.69752123484415,True,False
word:collectives,word,collectives,42,False,8.072416,8.048583,8.047875,8.166083,1.1603341552268942,-1.7699038305260872,4.035239135157909,False,False,1.4598843051006671,-1.978407134117821,3.1957201022630555,False,False,1.468810089619943,-1.9644567752557185,2.785979458818222,False,False
word:compile,word,compile,4191,False,14.597125,16.666458,16.786583,16.734416,14.641862695565045,12.202145466232285,16.542637931508118,False,True,0.4077531050688865,-1.932873385665368,2.5949904478879127,False,False,-0.31076604452496825,-2.3262686623143902,1.3876752270093773,False,False
word:config,word,config,66765,False,55.148917,55.191625,55.382459,55.400583,0.45633897035548543,-0.643576074031893,0.851801003068009,False,False,0.3786045437147223,-0.7226499278420562,1.0671373353856595,False,False,0.032725163034030835,-1.4375570737474863,0.6096813805602785,False,False
word:context,word,context,6977,False,19.423375,18.454709,18.571917,18.513042,-4.686791044295857,-5.673245577786679,-3.7214465046313205,False,False,0.31608734659538396,-0.8246062979016644,1.4910347292872883,False,False,-0.3170108933827409,-1.3681573898701394,0.795757170907474,False,False
word:custom,word,custom,3508,False,16.532583,15.460375,15.518166,15.610375,-5.578124120108752,-7.343485656054161,-1.0570779927412843,True,False,0.9702222617497869,-2.5456562843770403,2.211409874786141,False,False,0.594200371358311,-1.6997818250064523,2.268489064566248,False,False
word:decode,word,decode,14364,False,26.003042,25.766417,25.100666,24.553834,-5.57322485576881,-6.751479017823369,-4.730517746199892,True,False,-4.706059829738852,-6.307055886306889,-4.11153585835089,False,False,-2.1785557403138256,-3.435000489628437,-1.1419185442979596,False,False
word:device,word,device,20898,False,29.812667,30.012833,30.208583,30.3395,1.7671448180063942,0.31554378225713275,4.14400750789754,False,False,1.0884244083189332,-0.3127795366735242,3.520537773632948,False,False,0.4333768320083031,-0.943440478489177,2.769849937899571,False,False
word:dp,word,dp,5570,True,58.509959,58.113334,58.932292,58.207542,-0.5168641461533174,-1.469970643417895,0.2785159152135952,False,False,0.16211081608223932,-0.8715764823680194,1.2178231142087936,False,False,-1.2298011419613508,-1.9065640964906594,-0.4094157340763904,False,False
word:gather,word,gather,2869,False,15.255625,11.493334,11.735917,11.48975,-24.68515711417919,-26.329853620197053,-23.385222967591645,True,False,-0.031183292854797262,-1.8079071580132555,1.284445173951232,False,False,-2.0975523259068707,-3.9319540568037548,-0.19432130426817462,False,False
word:get,word,get,47427,False,53.377625,52.931333,53.48625,53.091667,-0.5357263460110895,-2.0058532081038916,0.4667708842222895,False,False,0.30290943173487683,-0.84243671692803,1.1734337555034502,False,False,-0.7377279207272824,-2.1572513740286237,0.36584328471394034,False,False
word:harmony,word,harmony,511,False,7.37975,7.337584,7.314958,7.248959,-1.77229580947863,-3.856398873508793,-0.28256413783616097,False,False,-1.2078226293559258,-3.094806137824102,0.9453743199405729,False,False,-0.9022471489241624,-3.141796232557359,2.4709898053014934,False,False
word:image,word,image,17588,False,20.391834,20.424875,20.188167,20.351,-0.20024682429250484,-2.2784493715379495,2.4969274448338075,False,False,-0.3616913200203187,-1.872597573857293,2.9462280412916764,False,False,0.8065764464896708,-0.6831311144917196,3.615357895901794,False,False
word:input,word,input,32715,False,37.632333,37.917083,38.117917,38.263167,1.6763085084307683,0.7137349678984162,2.7253245711873486,False,False,0.91273898891433,-0.4436954356123679,2.1483653059608976,False,False,0.3810544002181615,-0.7080172283826291,1.5756098287778464,False,False
word:invoke,word,invoke,934,False,9.365625,9.301292,9.493875,9.466541,1.0775148481815044,-2.687036552035349,3.361580246913576,False,False,1.7766241507093827,-2.5313207753730915,5.731946366893714,False,False,-0.28791194322654867,-4.504678710330778,4.754857487513964,False,False
word:kernel,word,kernel,13265,False,24.22275,24.078458,24.173167,24.1995,-0.09598414713440917,-0.7781491720642464,1.0335482388993622,False,False,0.5026983040193,-0.3430169904041436,1.5336669654923973,False,False,0.10893483671379212,-0.8366169688644232,1.1891196105650037,False,False
word:len,word,len,40937,False,46.0915,45.861459,46.568333,46.263,0.37208595945021905,-0.8551551960306658,1.8652015530931099,False,False,0.8755521711596437,-0.08290358319317237,2.1603810312505134,False,False,-0.6556665878506007,-1.2232432287620165,1.0774637730249559,False,False
word:logprobs,word,logprobs,4805,False,11.097583,11.054875,11.038792,11.116916,0.17420910481138474,-1.29153186897224,1.405028130107011,False,False,0.5612094211829621,-1.1768212361120356,3.138937650709739,False,False,0.7077223667227184,-0.7515944845990941,2.276640520374995,False,False
word:memory,word,memory,4442,False,16.334708,16.251542,16.208708,16.315125,-0.1198858283845694,-2.2709765671951265,1.2477008339800033,False,False,0.39124287406080427,-1.3624351977802984,1.533934916070434,False,False,0.6565421500590807,-0.7994411572935123,1.9626928013067424,False,False
word:metadata,word,metadata,10306,False,18.7905,18.08575,18.162459,18.984625,1.03310183337324,-0.16675894434339256,2.1777387509645862,False,False,4.970073123868235,3.28041178532279,6.481856739580882,False,False,4.526732861447913,2.617208672086724,5.813967848516843,False,False
word:mla,word,mla,3720,False,11.218917,11.223084,11.297041,10.883667,-2.9882563530864714,-4.639969912502917,1.7059480675156058,False,False,-3.0242756803744775,-4.838353000059092,0.30069159065850837,False,False,-3.6591351664564176,-6.287715511646875,-0.14882577234811567,False,False
word:model,word,model,54157,False,56.660917,56.6325,57.751666,56.590834,-0.1236884323633447,-1.2102139720924,0.8921445557369401,False,False,-0.07357259524124471,-1.415679683471649,1.1239070018756347,False,False,-2.010040714669603,-2.4998403519481793,-0.8430749320901376,False,False
word:moe,word,moe,10741,False,16.747542,16.493708,16.543917,16.490583,-1.5343087361715413,-4.74517290487494,-0.11105513462814631,False,False,-0.018946618916748648,-1.5506468803309081,1.4469502673129186,False,False,-0.32237830980413884,-2.422940802263973,1.1530162616310902,False,False
word:op,word,op,71036,True,85.472125,84.885458,85.666167,85.182334,-0.339047379481916,-0.8930397601975892,0.46816093909662904,False,False,0.34973717170732055,-0.2378299105183057,1.5695205026143633,False,False,-0.5647888973484783,-1.6463892197849495,0.19029041645142186,False,False
word:or,word,or,396047,True,217.3425,216.609292,217.448458,216.498791,-0.3881932893934681,-2.906233137571923,0.6714038986201487,False,False,-0.051013970351743154,-1.8122929844264002,0.9168539377730767,False,False,-0.4367320001873676,-1.7734421200354955,0.8178788863129283,False,False
word:parallel,word,parallel,10068,False,23.829291,22.649958,22.785792,22.593292,-5.186889530200456,-6.038986834683612,-3.629795753926379,True,False,-0.25018147936521906,-1.21819265163442,1.199432210963014,False,False,-0.8448247047984969,-2.2605924345852957,1.0693390858766083,False,False
word:plan,word,plan,1370,False,14.547417,14.509542,14.6375,14.27925,-1.8433994158550626,-3.4923089759206993,1.1016823981303547,False,False,-1.587176218243147,-4.572186811523526,1.3565451922508576,False,False,-2.4474807856532887,-3.5029141390970464,0.674936364312595,False,False
word:quant,word,quant,23639,False,26.887166,26.939792,26.945375,26.808792,-0.29149223090302323,-2.016720245521686,0.8338974230456264,False,False,-0.486269530217609,-1.636509705692324,0.7099863493106318,False,False,-0.5068884734393153,-1.6118930363020145,0.34064303851559785,False,False
word:rank,word,rank,13307,False,21.697959,21.06025,21.609916,21.192959,-2.3274078451341995,-3.7921677282984234,-1.2881063700356243,False,False,0.6301397181894819,-0.5601991291071973,1.4155997521116959,False,False,-1.9294707115011467,-3.3829530565480215,-0.9952821778668963,False,False
word:response,word,response,7246,False,17.609625,15.923417,18.460584,16.300792,-7.432486495311508,-9.749925521696156,-5.976084158451444,True,False,2.369937306797909,0.40323003536237856,4.328045543224479,False,False,-11.699478196356083,-13.616397016853742,-10.542994656700056,True,False
word:segment,word,segment,1363,False,10.145792,9.974541,9.945375,9.986875,-1.5663341018621324,-4.632117762248966,2.5231598306229897,False,False,0.12365481278786561,-2.354203471718397,4.903323182997954,False,False,0.4172793886605408,-2.5482684333088423,3.7677304784616172,False,False
word:size,word,size,71623,False,60.011125,60.412417,59.933125,60.160042,0.24814898904161886,-0.9712438473123974,1.0744185054612387,False,False,-0.4177535224257012,-1.8142615874305212,1.3207105345747427,False,False,0.3786170001981448,-0.5933517292258328,1.1954458388772737,False,False
word:sizes,word,sizes,5377,False,16.210166,16.09925,16.1095,16.216042,0.03624885766129182,-1.24067765399134,1.3363488039819016,False,False,0.7254499433203332,-1.3230364532594519,2.2164393232251056,False,False,0.6613613085446612,-0.5480741177566029,1.9105196631967303,False,False
