dataset,query,rg_compatible,baseline_ms,optimized_ms,baseline_no_refresh_ms,optimized_no_refresh_ms,rg_ms,change_pct,baseline_p95_ms,optimized_p95_ms
vllm,icase_sampling,True,30.618583,30.55325,15.854667,15.652458,67.947084,-0.21337695477287033,32.175875,31.379125
vllm,icase_platform,True,43.013917,43.583417,28.103667,27.884375,75.062708,1.3239900937177973,44.213708,44.343166
vllm,icase_todo,True,30.754042,30.560416,16.516375,16.64525,69.103,-0.6295952902711122,32.190916,32.262708
vllm,icase_env,True,53.956375,54.539,38.717958,38.544709,80.719583,1.0798075296941212,55.255,56.0165
vllm,icase_logger,True,32.889084,32.497083,17.43725,17.455792,67.46775,-1.1918878616382078,33.743791,34.510209
vllm,icase_literal,True,32.094958,31.793,16.690458,16.917375,67.580833,-0.9408269049612117,33.511333,33.069042
vllm,digits,True,168.087417,168.499209,145.79275,143.970791,96.581833,0.24498680945286289,172.502458,176.093458
vllm,hex_number,True,29.824125,29.835583,14.617292,14.638209,67.546958,0.03841856215396344,30.53,31.083
vllm,short_word,True,100.722916,102.683041,86.790125,87.439625,93.0895,1.9460566451432015,105.413709,104.413958
vllm,blank_lines,False,185.64,186.472083,169.637583,168.376959,101.693459,0.448223981900453,194.005,195.814875
vllm,absent_regex,True,24.109875,24.516083,9.15025,9.094625,65.698458,1.6848200166944105,25.669417,26.090167
vllm,wide_icase_asyncmock,True,25.418292,25.058166,10.075041,10.067416,65.547042,-1.416798579542644,26.56175,26.385333
vllm,wide_icase_cache,True,55.596292,55.595708,40.619417,40.60125,69.9515,-0.001050429766069616,57.760541,56.775667
vllm,wide_icase_class_attention,True,34.357708,34.134708,18.947417,18.882875,66.880084,-0.6490537727371071,35.276416,35.0325
vllm,wide_icase_def_forward,True,35.494583,35.347875,20.521292,20.389708,68.544334,-0.41332504173945406,37.145917,37.3905
vllm,wide_icase_config,True,41.036083,41.078792,26.441958,26.5045,69.891375,0.1040766975737073,43.127,42.407625
