repository,step,commit,current_phase,main_phase,current_ms,no_sync_ms,main_ms,rg_ms,middle_before_update_mib,middle_entering_merge_mib,middle_after_update_mib,base_after_mib,main_middle_after_mib
viberwhisper,93,cc620e97c0e0852830d4346ac4efc1ce1dcf5910,incremental,incremental,28.456417000000002,10.129624999999999,10.653833,9.354750000000001,3.7091894149780273,,3.8584890365600586,0.0704498291015625,0.48685359954833984
viberwhisper,94,04903ca04146d6f512fd9720f14b7b206c8ae793,incremental,incremental,31.07475,10.6535,12.298875,8.038083,3.8584890365600586,,4.212667465209961,0.0704498291015625,0.8329143524169922
viberwhisper,95,976e1f16c761d5975abd1faf95d5a03996794768,middle_merge,incremental,43.565875,18.235708,11.162625,7.054208,4.212667465209961,4.3757219314575195,3.865056037902832,0.0704498291015625,0.9809865951538086
viberwhisper,96,2c9f50091b26d41f9abf827ac9fe76a4aaaefc4d,incremental,incremental,32.313333,14.088458999999999,13.878,7.586083,3.865056037902832,,4.469507217407227,0.0704498291015625,1.5558862686157227
viberwhisper,97,720255e31d06533caf1c279a9b1d1109f80b18ab,incremental,rebuild,27.958541,9.682917,28.533125,7.6639159999999995,4.469507217407227,,4.6089372634887695,0.0704498291015625,0.0
viberwhisper,98,c267b88deeedebd52ba9e543a83918305011263f,middle_merge,incremental,42.5825,17.138458,13.538333,7.822875,4.6089372634887695,5.140362739562988,5.011152267456055,0.0704498291015625,0.4975852966308594
viberwhisper,99,65186fe565fcc21af180634a6b0684e2e18ed192,middle_merge,incremental,53.272334,27.981749999999998,12.224916,9.065,5.011152267456055,5.5037126541137695,4.47519588470459,0.0704498291015625,0.9644327163696289
viberwhisper,100,ab1f117d922fe06da6fc2f1f72605ba227ba4233,incremental,incremental,27.649166,9.041375,9.812417,8.721958,4.47519588470459,,4.511846542358398,0.0704498291015625,0.9939022064208984
agentflow,1,9cca7f6765530826d562da26ff4674b1d6f7baf6,incremental,incremental,27.216708,9.701292,9.814042,6.183083,0.0,,0.33382701873779297,0.8180513381958008,0.33382701873779297
agentflow,2,5b5b0b114b801c0088ee68f2abe2e69847f6ba1e,incremental,incremental,26.944291,9.610833,10.046583,7.356917,0.33382701873779297,,0.7490072250366211,0.8180513381958008,0.7490072250366211
