dataset,query,category,rg_compatible,matching_lines,baseline_ms,optimized_ms,baseline_no_refresh_ms,optimized_no_refresh_ms,rg_ms,baseline_p95_ms,optimized_p95_ms,change_pct,change_bootstrap_95,baseline_rss_mib,optimized_rss_mib,baseline_no_refresh_rss_mib,optimized_no_refresh_rss_mib,rg_rss_mib
viberwhisper,function,function definitions,True,813,8.303708,8.332125,4.925583,4.97225,7.994208,8.650292,9.012416,0.34222060795008336,"[-0.7363436222312059, 1.2976973956325244]",10.296875,10.203125,8.96875,8.953125,6.078125
viberwhisper,public,optional group,True,357,8.253542,8.197042,4.894833,4.894583,7.818041,9.201834,8.719291,-0.6845545827476207,"[-2.7053350751535254, 1.5649415556971968]",10.75,10.71875,9.453125,9.40625,6.140625
viberwhisper,impl,anchor,True,152,8.0975,8.236625,4.857667,4.777708,6.986583,9.389,8.765208,1.7181228774313162,"[-0.2185187791581944, 15.067221819113175]",10.4375,10.375,9.015625,9.03125,5.984375
viberwhisper,use,imports,True,184,8.131708,8.050333,4.624792,4.620334,7.393917,9.503333,8.705417,-1.0007122734854712,"[-2.164755271916652, 0.8019839787108518]",10.171875,10.234375,8.90625,8.859375,5.953125
viberwhisper,derive,escaped punctuation,True,125,7.760875,7.647791,4.392667,4.3105,7.283583,8.727625,8.114834,-1.4571037415240018,"[-5.229400746065538, 0.061556405105944734]",9.8125,9.703125,8.1875,8.203125,5.875
viberwhisper,unwrap,method call,True,413,7.983459,7.883667,4.486833,4.499583,7.333792,8.93575,8.311083,-1.2499844992001519,"[-2.4716446837388273, 0.6259720150711745]",9.96875,9.984375,8.546875,8.625,5.875
viberwhisper,async,whitespace,True,0,7.992917,7.866792,4.522959,4.411334,6.988875,8.51075,9.183416,-1.5779595859684248,"[-3.2359910383967128, 1.111866765780456]",10.703125,10.625,9.375,9.234375,6.4375
viberwhisper,common_files,common / files,True,54,7.953333,7.884333,4.548959,4.543625,7.431833,8.782958,8.416,-0.8675608075256025,"[-2.184042305723999, 0.3819419953365877]",9.921875,9.9375,8.3125,8.234375,5.859375
agentflow,word_return,common word,True,689,8.185791,8.331958,4.957833,4.872,7.174875,8.974625,9.488542,1.7856185187234752,"[-0.915950249866726, 3.2824030129520176]",10.078125,9.953125,8.59375,8.671875,6.0
agentflow,errors,alternation,True,110,8.113167,8.1715,4.783625,4.774583,7.486084,9.539583,9.260917,0.7189917328214612,"[-0.7859543020579451, 2.203355509673477]",10.421875,10.421875,9.109375,9.140625,6.140625
agentflow,todo,ignore case,True,12,7.840792,7.702333,4.405042,4.326625,6.736584,9.076292,8.875916,-1.7658802835223808,"[-3.072703167669266, -0.18717450945787695]",10.046875,10.0,8.671875,8.640625,6.046875
agentflow,short,scan fallback,True,85,8.419542,8.470208,5.200834,5.128417,6.729166,9.122709,8.793042,0.601766699423778,"[-1.3279972130016415, 2.4842980175927565]",10.21875,10.234375,8.609375,8.578125,5.96875
agentflow,digits,scan fallback,True,81,11.003833,10.916708,7.601125,7.559541,7.380916,11.487167,11.828417,-0.7917695588437246,"[-1.5616968020891409, 1.4744877795836109]",11.0,10.890625,9.75,9.75,6.34375
agentflow,absent,no matches,True,0,7.474708,7.374,4.015459,4.015791,7.13275,8.3755,7.963209,-1.3473168450192308,"[-3.9204380235873915, 1.028481647711188]",9.46875,9.46875,7.4375,7.5,5.796875
agentflow,literal,fixed string,True,25,7.504541,7.52225,4.12875,4.118125,7.364584,8.706167,8.656541,0.23597712371750124,"[-1.7880343311437397, 2.8066037735849036]",9.53125,9.421875,7.640625,7.6875,5.90625
agentflow,icase_literal,ignore case,True,25,8.024625,7.999083,4.73325,4.630125,7.627417,9.53825,8.278708,-0.3182952474414802,"[-1.5272993855178663, 0.7048050884816526]",11.328125,11.234375,10.15625,10.078125,6.015625
agentflow,function,function definitions,True,1046,8.479333,8.473958,5.194167,5.2225,6.97625,8.994666,9.651375,-0.06338941989895153,"[-3.26947546432631, 2.19720428146597]",10.21875,10.15625,8.859375,8.921875,6.1875
