pair,count,probability_pct,independent_probability_pct,actual_over_independent,weight_frequency
ir,2301596,0.1551480076411794,0.46940495000000004,0.33052060409925244,15514801
is,9595104,0.6467952102410288,0.46864056,1.3801520086973027,64679521
it,9730266,0.6559063292248979,0.64848068,1.0114508411027723,65590633
iu,846264,0.057045708081894055,0.21534951000000002,0.26489824881372637,5704571
iv,3358541,0.22639548588510505,0.08818281,2.5673426134311783,22639549
iw,76962,0.005187922191418671,0.07650849,0.06780845094993602,518792
ix,676681,0.04561430805347286,0.12091260000000001,0.3772502456606909,4561431
iy,58558,0.003947329171345528,0.08234565,0.04793609828018272,394733
iz,2118779,0.1428245185001931,0.017997910000000002,7.93561688552688,14282452
ja,512070,0.03451806497439982,0.01955013,1.7656181812806269,3451806
jb,57293,0.0038620569386573884,0.00479451,0.8055165050562807,386206
jc,41732,0.0028131073632738754,0.01050621,0.2677566280584412,281311
jd,34498,0.002325471528280987,0.00970515,0.23961211607043548,232547
je,791191,0.053333298855938384,0.027510959999999997,1.938620057458496,5333330
jf,23277,0.0015690764903413686,0.00509787,0.307790604770496,156908
jg,28226,0.001902683035458842,0.0046689,0.40752276456099773,190268
jh,23898,0.0016109374045700918,0.00511209,0.31512305232695276,161094
ji,124841,0.00841539193756527,0.016469130000000002,0.5109797504522261,841539
jj,60740,0.00409441534662262,0.00056169,7.289457434924281,409442
jk,59619,0.004018849992596213,0.00232497,1.728559935223342,401885
jl,41147,0.0027736731687105854,0.010710029999999999,0.2589790288832604,277367
jm,30530,0.002057993094046569,0.0063966299999999995,0.3217308323361784,205799
jn,91277,0.006152880302826356,0.01573206,0.39110455355664525,615288
jo,793207,0.053469195157202644,0.01532916,3.4880707851703976,5346920
jp,58254,0.003926836871948536,0.0072048,0.5450306562220376,392684
jq,49640,0.0033461767831140412,0.00070863,4.72203658201606,334618
jr,56275,0.0037934346992293043,0.01600935,0.23695120034413045,379343
js,556862,0.03753744350923552,0.01598328,2.348544448275668,3753744
jt,45178,0.0030453983623595117,0.02211684,0.13769590784033847,304540
ju,252544,0.017023708088532482,0.0073446299999999996,2.317844205703008,1702371
jv,44054,0.0029696307816943187,0.00300753,0.9873985568537366,296963
jw,35895,0.0024196417330757153,0.00260937,0.9272896266438702,241964
jx,22213,0.0014973534424518975,0.0041238,0.36310040313591774,149735
jy,33947,0.0022883292356239396,0.0028084499999999997,0.8148014868072921,228833
jz,22467,0.001514475297869121,0.00061383,2.4672552626445774,151448
ka,912343,0.061500019436676344,0.08092269,0.7599848625481475,6150002
kb,226391,0.015260763660474836,0.01984563,0.7689735050222561,1526076
kc,363634,0.024512160522781854,0.04348773,0.5636569331805052,2451216
kd,278042,0.018742499700455162,0.04017195,0.46655688111867016,1874250
ke,4159109,0.2803608778050092,0.11387448,2.4620167556858146,28036088
kf,187904,0.012666398111487929,0.02110131,0.6002659603355398,1266640
kg,421081,0.02838459842889693,0.0193257,1.4687487867915225,2838460
kh,184319,0.012424737278138536,0.02116017,0.5871756832831937,1242474
ki,1101498,0.07425074605653807,0.06816968999999999,1.0892046898927967,7425075
kj,40762,0.0027477207500663688,0.00232497,1.1818306258000615,274772
kk,97201,0.0065522105055493135,0.00962361,0.6808474684187444,655221
kl,278642,0.018782945028212383,0.04433139,0.4236940242165288,1878295
km,405605,0.027341378608279024,0.02647719,1.0326389850387834,2734138
kn,357358,0.024089102394441328,0.06511878,0.3699255789872189,2408910
ko,384320,0.025906580606091627,0.06345107999999999,0.4082921930736502,2590658
kp,295947,0.019949455689610218,0.0298224,0.6689419929184176,1994946
kq,56332,0.0037972770053662404,0.00293319,1.2945895101804659,379728
kr,284789,0.019197307411085107,0.06626655,0.289698307986233,1919731
ks,1018365,0.0686468436691364,0.06615863999999999,1.0376096556570147,6864684
kt,433843,0.02924487055029301,0.09154692,0.3194522606581741,2924487
ku,462255,0.03116009163735659,0.03040119,1.0249628924840306,3116009
kv,100711,0.006788815672929053,0.01244889,0.5453350196627211,678882
kw,162775,0.01097248037613594,0.01080081,1.0158942131317874,1097248
kx,25670,0.0017303859392130828,0.0170694,0.10137356551566447,173039
ky,93767,0.006320728413018822,0.011624849999999999,0.5437255889769607,632073
kz,27246,0.001836622333455382,0.0025407900000000002,0.7228548339120439,183662
la,12320665,0.8305222235198582,0.37277231,2.2279611474357046,83052222
lb,1090970,0.07354106537215804,0.09141937,0.8044363614861714,7354107
lc,443596,0.029902309352986628,0.20032727000000003,0.1492672932296568,2990231
ld,2754720,0.18569258879895068,0.18505305,1.0034559754565011,18569259
le,15544453,1.0478341606528487,0.52456552,1.9975277076023765,104783416
lf,915800,0.061733051933437526,0.09720369,0.6350895931362022,6173305
lg,181992,0.012267876815320116,0.0890243,0.13780368747993654,1226788
lh,101111,0.0068157792247672,0.09747483,0.06992347896136059,681578
li,9761847,0.6580351690513991,0.31402531,2.095484497894132,65803517
lj,87760,0.005915803273289449,0.010710029999999999,0.5523610366441036,591580
lk,198868,0.013405469067371539,0.04433139,0.3023922567591843,1340547
ll,6763053,0.45588982537408873,0.20421361,2.232416465161596,45588983
lm,246479,0.01661487323378658,0.12196781,0.13622342840940227,1661487
ln,156436,0.010545175488380906,0.29997122,0.035153957397582695,1054518
lo,6395902,0.43114058782177,0.29228892,1.4750493717714992,43114059
lp,904421,0.06096600629252184,0.1373776,0.44378418528582425,6096601
lq,45078,0.0030386574743999748,0.013511809999999999,0.22488900261326758,303866
lr,246052,0.016586089642199358,0.30525844999999996,0.054334579901717237,1658609
ls,2920087,0.1968397929909978,0.30476136,0.6458817252652955,19683979
lt,2741022,0.18476922196625334,0.42171307999999996,0.4381396516471658,18476922
lu,4432630,0.2987986219608137,0.14004381,2.1336082041813467,29879862
lv,298710,0.020135706423932215,0.05734611,0.35112593380670837,2013571
lw,208239,0.014037157678059726,0.04975419,0.28213016186294515,1403716
lx,31166,0.0021008651414692226,0.0786306,0.026718162413477995,210087
ly,1183721,0.07979330636350798,0.053550150000000005,1.4900669066941543,7979331
lz,41453,0.0027943002858667678,0.01170421,0.238743177529006,279430
ma,7428317,0.5007345262492213,0.22264050999999999,2.2490719512330495,50073453
mb,921895,0.062143909054571296,0.05460076999999999,1.1381507816569492,6214391
mc,221683,0.014943402655339846,0.11964667,0.12489610162438994,1494340
md,358233,0.024148085164087275,0.11052404999999998,0.21848715428078572,2414809
me,14258636,0.9611586773181721,0.31329992,3.067854844387359,96115868
mf,127696,0.008607844288810044,0.05805549,0.14826925565196408,860784
mg,152315,0.010267383495568397,0.053170300000000004,0.19310373452036939,1026738
mh,72174,0.004865168475916052,0.058217429999999994,0.08356893246431614,486517
mi,3278321,0.22098794556396467,0.18755351,1.1782661149021667,22098795
mj,51261,0.003455446576938132,0.0063966299999999995,0.5401979756431327,345545
mk,49711,0.003350962813565312,0.02647719,0.12656036435759657,335096
ml,1246278,0.08401020364435538,0.12196781,0.688789965519225,8401020
mm,1290374,0.0869826655989927,0.07284601,1.1940621812916412,8698267
mn,368806,0.024860799248049095,0.17915962,0.13876340688850028,2486080
mo,4673967,0.3150668787357209,0.17457132,1.8048032101476974,31506688
mp,4088729,0.2756166408590872,0.0820496,3.359146672976922,27561664
mq,38922,0.002623688411610893,0.00807001,0.32511588109691225,262369
mr,129600,0.008736190795559625,0.18231745,0.04791746920308299,873619
ms,1140844,0.0769030158330974,0.18202056,0.4224963148838648,7690302
mt,301535,0.02032613650878913,0.25187068,0.08070068540248165,2032614
mu,973688,0.06563521715545416,0.08364201,0.7847159239173492,6563522
mv,119901,0.008082392072364155,0.03425031,0.2359801144095967,808239
mw,97181,0.006550862327957406,0.02971599,0.22044906893418006,655086
mx,27813,0.0018748431681859553,0.0469626,0.039922047931459405,187484
my,130367,0.00878789340620927,0.031983149999999995,0.2747663506005278,878789
mz,31120,0.0020977643330078355,0.006990409999999999,0.30009174469134653,209776
na,7985195,0.5382730483005304,0.54756862,0.9830239145196639,53827305
nb,326344,0.0219984834026706,0.13428674,0.1638172421392507,2199848
nc,6048125,0.4076973299027319,0.29426254,1.3854883802156124,40769733
nd,9512037,0.6411957568396804,0.2718261,2.3588454414041933,64119576
ne,8219804,0.55408777813352,0.77053904,0.7190911159199928,55408778
nf,1918867,0.129348674562524,0.14278338,0.9059084787215711,12934867
ng,8722412,0.5879680202891884,0.13076859999999998,4.496247725288704,58796802
